,0,1,2,3,4,5,6,7
"[0, 0, 15, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 15, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 23, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 1, 23, 0]",0.00041245539280484247,0.000338262858672948,0.00024977645407192454,0.003013944012197195,0.00042440001936376397,0.00023675154563405787,0.0003584746676703407,0.0002812361389365193
"[1, 1, 23, 1]",0.0,0.0,0.0,0.0,4.487007546139478e-05,0.0,0.0,0.0
"[1, 1, 23, 2]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 1, 23, 3]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 8, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
